"","department","score"
"220","Stewartville  ","46"
"221","Spring Lake Park  ","46"
"222","Thief River Falls  ","46"
"223","Lino Lakes  ","46"
"224","Becker  ","47"
"225","Elgin  ","47"
"226","Blue Earth  ","47"
"227","Taylors Falls  ","47"
"228","Delano  ","47"
"229","Mounds View  ","47"
"230","Albert Lea  ","47"
"231","New Hope  ","47"
"232","Grand Marais  ","48"
"233","Richmond  ","48"
"234","Warroad  ","48"
"235","Janesville  ","48"
"236","Glenwood  ","48"
"237","Benson  ","48"
"238","Deephaven  ","48"
"239","Mound  ","48"
"240","Grand Rapids  ","48"
"241","Waconia  ","48"
"242","Cannon Falls  ","49"
"243","Roseau  ","49"
"244","Afton  ","49"
"245","Breckenridge  ","49"
"246","Two Harbors  ","49"
"247","Eveleth  ","49"
"248","Bayport  ","49"
"249","Monticello  ","49"
"250","Wadena  ","49"
"251","Morris  ","49"
"252","North Branch  ","49"
"253","Ham Lake Anoka  ","49"
"254","Willmar  ","49"
"255","Oak Park Height  ","49"
"256","Park Rapids  ","50"
"257","Kimball  ","50"
"258","Spring Grove  ","50"
