"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030038,MSPB-1,0.993029,,01/01/2021,12/31/2021
030043,MSPB-1,0.941515,,01/01/2021,12/31/2021
030055,MSPB-1,0.931308,,01/01/2021,12/31/2021
030061,MSPB-1,0.964587,,01/01/2021,12/31/2021
030062,MSPB-1,0.929667,,01/01/2021,12/31/2021
030064,MSPB-1,1.000083,,01/01/2021,12/31/2021
030065,MSPB-1,1.032580,,01/01/2021,12/31/2021
030069,MSPB-1,0.961780,,01/01/2021,12/31/2021
030071,MSPB-1,0.708586,,01/01/2021,12/31/2021
030073,MSPB-1,0.862257,,01/01/2021,12/31/2021
030074,MSPB-1,N/A,1,01/01/2021,12/31/2021
030077,MSPB-1,0.738979,,01/01/2021,12/31/2021
030078,MSPB-1,0.692986,,01/01/2021,12/31/2021
030083,MSPB-1,0.949268,,01/01/2021,12/31/2021
030084,MSPB-1,0.631120,,01/01/2021,12/31/2021
030085,MSPB-1,1.005253,,01/01/2021,12/31/2021
030087,MSPB-1,1.003919,,01/01/2021,12/31/2021
030088,MSPB-1,0.967581,,01/01/2021,12/31/2021
030089,MSPB-1,1.009121,,01/01/2021,12/31/2021
030092,MSPB-1,0.989124,,01/01/2021,12/31/2021
030093,MSPB-1,0.918663,,01/01/2021,12/31/2021
030094,MSPB-1,1.015543,,01/01/2021,12/31/2021
030101,MSPB-1,0.837003,,01/01/2021,12/31/2021
030103,MSPB-1,0.968563,,01/01/2021,12/31/2021
030105,MSPB-1,0.997817,,01/01/2021,12/31/2021
030107,MSPB-1,0.847359,,01/01/2021,12/31/2021
030108,MSPB-1,0.890787,,01/01/2021,12/31/2021
030110,MSPB-1,1.002553,,01/01/2021,12/31/2021
030111,MSPB-1,0.925608,,01/01/2021,12/31/2021
030112,MSPB-1,0.941352,,01/01/2021,12/31/2021
030113,MSPB-1,0.722621,,01/01/2021,12/31/2021
030114,MSPB-1,0.957382,,01/01/2021,12/31/2021
030115,MSPB-1,0.946811,,01/01/2021,12/31/2021
030117,MSPB-1,0.808147,,01/01/2021,12/31/2021
030119,MSPB-1,0.987965,,01/01/2021,12/31/2021
030121,MSPB-1,0.971699,,01/01/2021,12/31/2021
030122,MSPB-1,1.015185,,01/01/2021,12/31/2021
030123,MSPB-1,0.939310,,01/01/2021,12/31/2021
030130,MSPB-1,0.929947,,01/01/2021,12/31/2021
030131,MSPB-1,0.881774,,01/01/2021,12/31/2021
030134,MSPB-1,0.845736,,01/01/2021,12/31/2021
030136,MSPB-1,0.831668,,01/01/2021,12/31/2021
030137,MSPB-1,0.916853,,01/01/2021,12/31/2021
030138,MSPB-1,1.282294,,01/01/2021,12/31/2021
030139,MSPB-1,1.001289,,01/01/2021,12/31/2021
030146,MSPB-1,0.905220,,01/01/2021,12/31/2021
030147,MSPB-1,1.035150,,01/01/2021,12/31/2021
030148,MSPB-1,0.901153,,01/01/2021,12/31/2021
040001,MSPB-1,0.972275,,01/01/2021,12/31/2021
040002,MSPB-1,1.030124,,01/01/2021,12/31/2021
040004,MSPB-1,0.992728,,01/01/2021,12/31/2021
040007,MSPB-1,0.985401,,01/01/2021,12/31/2021
040010,MSPB-1,1.025645,,01/01/2021,12/31/2021
040011,MSPB-1,0.873934,,01/01/2021,12/31/2021
040014,MSPB-1,1.035677,,01/01/2021,12/31/2021
040015,MSPB-1,1.091451,,01/01/2021,12/31/2021
040016,MSPB-1,1.003005,,01/01/2021,12/31/2021
040017,MSPB-1,0.990160,,01/01/2021,12/31/2021
040018,MSPB-1,0.769168,,01/01/2021,12/31/2021
040019,MSPB-1,0.851738,,01/01/2021,12/31/2021
040020,MSPB-1,1.084730,,01/01/2021,12/31/2021
040022,MSPB-1,1.067471,,01/01/2021,12/31/2021
040026,MSPB-1,1.049288,,01/01/2021,12/31/2021
040027,MSPB-1,0.985377,,01/01/2021,12/31/2021
040029,MSPB-1,1.035633,,01/01/2021,12/31/2021
040036,MSPB-1,1.035989,,01/01/2021,12/31/2021
040039,MSPB-1,1.083903,,01/01/2021,12/31/2021
040041,MSPB-1,1.011713,,01/01/2021,12/31/2021
040047,MSPB-1,1.108990,,01/01/2021,12/31/2021
040050,MSPB-1,1.022852,,01/01/2021,12/31/2021
040051,MSPB-1,0.963720,,01/01/2021,12/31/2021
040055,MSPB-1,1.053588,,01/01/2021,12/31/2021
040062,MSPB-1,1.068598,,01/01/2021,12/31/2021
040067,MSPB-1,0.930276,,01/01/2021,12/31/2021
040069,MSPB-1,1.096606,,01/01/2021,12/31/2021
040071,MSPB-1,1.056134,,01/01/2021,12/31/2021
040072,MSPB-1,0.921067,,01/01/2021,12/31/2021
040076,MSPB-1,0.920747,,01/01/2021,12/31/2021
040078,MSPB-1,1.063374,,01/01/2021,12/31/2021
040084,MSPB-1,1.030511,,01/01/2021,12/31/2021
040085,MSPB-1,0.744512,,01/01/2021,12/31/2021
040088,MSPB-1,1.065490,,01/01/2021,12/31/2021
040114,MSPB-1,1.067223,,01/01/2021,12/31/2021
040118,MSPB-1,1.025937,,01/01/2021,12/31/2021
040119,MSPB-1,1.040088,,01/01/2021,12/31/2021
040134,MSPB-1,0.956241,,01/01/2021,12/31/2021
040137,MSPB-1,1.125097,,01/01/2021,12/31/2021
040147,MSPB-1,0.899336,,01/01/2021,12/31/2021
040152,MSPB-1,1.020191,,01/01/2021,12/31/2021
