"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
LA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),78.70
MA,2021,90.16,96.45,100.00,100.00,0,20,0,0,98.45,99.36,0.40,0.30,0,10,0,7,0,5,0,1,N/A (5)
MA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),97.30
MD,2021,85.23,90.99,100.00,100.00,1,63,0,9,97.85,100.00,0.43,0.34,0,59,0,81,0,32,0,26,N/A (5)
MD,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.40
ME,2021,92.55,92.55,N/A (5),N/A (5),0,2,0,1,98.42,88.18,0.28,0.26,0,5,0,1,0,0,0,1,N/A (5)
ME,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),98.20
MI,2021,85.41,94.38,99.85,99.43,0,38,0,4,98.33,100.00,0.27,0.14,0,48,0,17,0,12,0,10,N/A (5)
MI,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),81.50
MN,2021,95.70,97.64,100.00,100.00,0,22,0,4,96.61,99.75,0.24,0.09,0,26,0,26,0,4,0,12,N/A (5)
MN,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),79.90
MO,2021,87.63,93.55,100.00,100.00,0,37,0,6,95.86,100.00,0.33,0.20,0,34,0,24,0,7,0,8,N/A (5)
MO,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.80
MS,2021,96.09,96.88,100.00,100.00,0,21,0,2,87.25,99.92,0.30,0.23,0,21,0,7,0,6,1,8,N/A (5)
MS,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),68.10
MT,2021,80.06,92.86,100.00,100.00,0,7,0,0,98.27,99.85,0.22,0.21,0,10,0,1,0,1,0,4,N/A (5)
MT,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.20
NC,2021,90.45,93.83,94.03,94.03,0,81,0,7,98.24,99.75,0.27,0.24,0,38,0,6,0,5,1,12,N/A (5)
NC,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.50
ND,2021,49.35,91.45,N/A (5),N/A (5),0,6,0,0,93.11,99.54,0.09,0.08,0,5,0,2,0,0,0,2,N/A (5)
ND,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),82.70
NE,2021,95.63,95.00,100.00,100.00,0,19,0,3,96.21,98.86,0.18,0.13,0,17,0,8,0,6,0,3,N/A (5)
NE,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.60
NH,2021,93.77,97.22,N/A (5),N/A (5),0,10,0,0,96.66,99.63,0.51,0.25,0,18,0,3,0,2,1,1,N/A (5)
NH,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),94.80
NJ,2021,66.77,81.00,99.83,100.00,0,88,0,15,91.53,100.00,0.51,0.31,0,67,0,61,0,26,0,18,N/A (5)
NJ,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),95.50
NM,2021,99.24,100.00,N/A (5),N/A (5),0,7,0,0,99.69,99.67,0.31,0.30,0,3,0,4,0,2,0,0,N/A (5)
NM,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.10
NV,2021,77.72,89.88,100.00,100.00,0,20,0,0,92.61,100.00,0.36,0.34,0,22,0,13,0,1,0,3,N/A (5)
NV,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.90
NY,2021,71.23,81.84,100.00,100.00,2,60,0,8,96.46,99.33,0.50,0.35,0,48,0,27,0,6,0,20,N/A (5)
NY,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.60
OH,2021,80.63,93.45,50.57,68.63,0,73,2,3,96.25,99.98,0.63,0.23,0,40,0,29,0,14,1,4,N/A (5)
OH,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.20
OK,2021,77.98,87.80,N/A (5),N/A (5),0,24,0,0,99.76,100.00,0.32,0.34,0,11,0,9,0,4,0,5,N/A (5)
